inventory_date,operator_id,operator_name,product_item_id,product_description,product_list_price,product_inventory_price,product_inventory_quantity
2017-11-30,14,"Jalao SRL",12435,"Leche Condensada (14.28oz)",73.36,73.36,113.00
2017-11-30,14,"Jalao SRL",12436,"Vainilla En Rama (1und)",50.85,50.85,2.00
2017-11-30,14,"Jalao SRL",12437,Maizena,60.00,60.00,50.00
2017-11-30,14,"Jalao SRL",12439,"Arroz Selecto ",19.92,19.92,480.00
2017-11-30,14,"Jalao SRL",12440,Apio,30.00,30.00,8.00
2017-11-30,14,"Jalao SRL",12441,"Aji Morron Rojo",70.00,70.00,10.00
2017-11-30,14,"Jalao SRL",12442,"Zanahoria ",30.00,30.00,175.00
2017-11-30,14,"Jalao SRL",12445,"Sal Molida",10.25,10.25,90.00
2017-11-30,1,"PP Operaciones CxA",12447,"Blueberries (6oz)",167.08,167.08,9.00
2017-11-30,1,"PP Operaciones CxA",12447,"Blueberries (6oz)",167.08,167.08,12.00
2017-11-30,1,"PP Operaciones CxA",12447,"Blueberries (6oz)",167.08,167.08,10.00
2017-11-30,1,"PP Operaciones CxA",12448,"Salsa Inglesa Worcestershire (15oz)",143.50,143.50,4.00
2017-11-30,1,"PP Operaciones CxA",12448,"Salsa Inglesa Worcestershire (15oz)",143.50,143.50,5.00
2017-11-30,1,"PP Operaciones CxA",12449,"Lomo Iberico de Cebo",1285.00,1285.00,3.18
2017-11-30,14,"Jalao SRL",12451,Longaniza,150.00,150.00,522.00
