inventory_date,operator_id,operator_name,product_item_id,product_description,product_list_price,product_inventory_price,product_inventory_quantity
2017-11-30,1,"PP Operaciones CxA",309,"Vinagre de Arroz (21oz)",45.00,45.00,8.00
2017-11-30,1,"PP Operaciones CxA",309,"Vinagre de Arroz (21oz)",45.00,45.00,4.90
2017-11-30,1,"PP Operaciones CxA",311,"Vinagre Balsamico (12.68oz)",193.90,193.90,0.00
2017-11-30,1,"PP Operaciones CxA",311,"Vinagre Balsamico (12.68oz)",193.90,193.90,8.40
2017-11-30,1,"PP Operaciones CxA",505,"Mayonesade dispensador (2/1.5GL)",2940.00,2890.00,0.00
2017-11-30,1,"PP Operaciones CxA",505,"Mayonesade dispensador (2/1.5GL)",2940.00,2890.00,1.00
2017-11-30,1,"PP Operaciones CxA",507,"Azafran en Hebra (24 unid/3.35oz)",199.09,199.09,2.00
2017-11-30,1,"PP Operaciones CxA",507,"Azafran en Hebra (24 unid/3.35oz)",199.09,199.09,7.00
2017-11-30,1,"PP Operaciones CxA",509,"Salsa Siracha (28oz)",200.00,200.00,2.00
2017-11-30,1,"PP Operaciones CxA",509,"Salsa Siracha (28oz)",200.00,200.00,0.00
2017-11-30,1,"PP Operaciones CxA",510,"Salsa de Pescado (25oz)",135.00,135.00,2.00
2017-11-30,1,"PP Operaciones CxA",511,"Salsa BBQ Heinz (80oz)",262.67,262.67,3.00
2017-11-30,1,"PP Operaciones CxA",511,"Salsa BBQ Heinz (80oz)",262.67,262.67,12.00
2017-11-30,1,"PP Operaciones CxA",512,"Curry En Polvo (10.44oz)",480.00,480.00,5.00
2017-11-30,1,"PP Operaciones CxA",512,"Curry En Polvo (10.44oz)",480.00,480.00,7.00
2017-11-30,1,"PP Operaciones CxA",516,"Fondo Bruno Granulare (8oz)",2461.20,2461.20,4.00
2017-11-30,1,"PP Operaciones CxA",516,"Fondo Bruno Granulare (8oz)",2461.20,2461.20,0.00
2017-11-30,1,"PP Operaciones CxA",522,"Alcaparra bebe Roland (6/32oz)",660.00,660.00,25.00
2017-11-30,1,"PP Operaciones CxA",522,"Alcaparra bebe Roland (6/32oz)",660.00,660.00,9.00
2017-11-30,1,"PP Operaciones CxA",539,"Queso Philadelphia (3lbs)",199.70,364.36,8.00
2017-11-30,1,"PP Operaciones CxA",539,"Queso Philadelphia (3lbs)",199.70,364.36,0.00
2017-11-30,1,"PP Operaciones CxA",550,"Comino en Granos Burriac (27.33oz)",650.00,650.00,3.00
2017-11-30,1,"PP Operaciones CxA",550,"Comino en Granos Burriac (27.33oz)",650.00,650.00,1.00
2017-11-30,1,"PP Operaciones CxA",555,"Agua Perrier (24/12oz)",987.29,987.29,6.00
2017-11-30,1,"PP Operaciones CxA",556,"Jugo de Pina la famosa (10.5oz) ",20.18,20.18,62.00
2017-11-30,1,"PP Operaciones CxA",556,"Jugo de Pina la famosa (10.5oz) ",20.18,20.18,20.00
2017-11-30,1,"PP Operaciones CxA",557,"Jugo Clamato (24/5.5oz)",483.05,483.05,2.00
2017-11-30,1,"PP Operaciones CxA",557,"Jugo Clamato (24/5.5oz)",483.05,483.05,0.70
2017-11-30,1,"PP Operaciones CxA",557,"Jugo Clamato (24/5.5oz)",483.05,483.05,0.67
2017-11-30,1,"PP Operaciones CxA",558,"Red Bull (24/10oz)",1370.50,1370.50,4.00
2017-11-30,1,"PP Operaciones CxA",558,"Red Bull (24/10oz)",1370.50,1370.50,0.25
2017-11-30,1,"PP Operaciones CxA",558,"Red Bull (24/10oz)",1370.50,1370.50,0.71
2017-11-30,1,"PP Operaciones CxA",565,"Montecristo Classic Rothchilde Tubo Cigars (Cja/15Puros)",4854.44,4854.44,0.53
2017-11-30,1,"PP Operaciones CxA",575,"Azucar Refina en Tubito (1fda/1000tubitos)",395.00,395.00,1.00
2017-11-30,1,"PP Operaciones CxA",577,"Azucar Crema en Tubito (1fda/1000tubitos)",395.00,395.00,1.50
2017-11-30,1,"PP Operaciones CxA",577,"Azucar Crema en Tubito (1fda/1000tubitos)",395.00,395.00,0.00
2017-11-30,1,"PP Operaciones CxA",578,"Huevos de Codorniz (1paq/30und)",79.00,79.00,4.00
2017-11-30,1,"PP Operaciones CxA",579,"Huevos (Und)",4.97,4.97,0.00
2017-11-30,1,"PP Operaciones CxA",579,"Huevos (Und)",4.97,4.97,270.00
2017-11-30,1,"PP Operaciones CxA",579,"Huevos (Und)",4.97,4.97,172.00
